ID,Age,Overall,Potential,Value,Wage,name,nationality,position,overall,age,hits,potential,team,Latitude,Longitude
158023,31,94,94,110500000.0,565000.0,Lionel Messi,Argentina,ST|CF|RW,94,33,299,94,FC Barcelona ,-34.0,-64.0
20801,33,94,94,77000000.0,405000.0,Cristiano Ronaldo,Portugal,ST|LW,93,35,276,93,Juventus ,39.5,-8.0
190871,26,92,93,118500000.0,290000.0,Neymar Jr,Brazil,CAM|LW,92,28,186,92,Paris Saint-Germain ,-10.0,-55.0
193080,27,91,93,72000000.0,260000.0,De Gea,Spain,GK,88,29,39,88,Manchester United ,40.0,-4.0
192985,27,91,92,102000000.0,355000.0,Kevin De Bruyne,Belgium,CM|CAM,91,29,119,91,Manchester City ,50.83,4.0
183277,27,91,91,93000000.0,340000.0,Eden Hazard,Belgium,ST|LW,91,29,66,91,Real Madrid ,50.83,4.0
177003,32,91,91,67000000.0,420000.0,Luka Modric,Croatia,CM,89,34,31,89,Real Madrid ,45.17,15.5
176580,31,91,91,80000000.0,455000.0,Luis Suárez,Uruguay,ST,89,33,54,89,FC Barcelona ,-33.0,-56.0
155862,32,91,91,51000000.0,380000.0,Sergio Ramos,Spain,CB,89,34,55,89,Real Madrid ,40.0,-4.0
200389,25,90,93,68000000.0,94000.0,Jan Oblak,Slovenia,GK,91,27,47,93,Atlético Madrid ,46.0,15.0
188545,29,90,90,77000000.0,205000.0,Robert Lewandowski,Poland,ST,91,31,89,91,FC Bayern München ,52.0,20.0
182521,28,90,90,76500000.0,355000.0,Toni Kroos,Germany,CM,89,30,37,89,Real Madrid ,51.0,9.0
182493,32,90,90,44000000.0,125000.0,Diego Godín,Uruguay,CB,87,34,16,87,Inter ,-33.0,-56.0
168542,32,90,90,60000000.0,285000.0,David Silva,Spain,CM|CAM,87,34,28,87,Manchester City ,40.0,-4.0
215914,27,89,90,63000000.0,225000.0,N'Golo Kanté,France,CDM|CM,89,29,75,89,Chelsea ,46.0,2.0
211110,24,89,94,89000000.0,205000.0,Paulo Dybala,Argentina,CAM|CF,87,26,95,90,Juventus ,-34.0,-64.0
202126,24,89,91,83500000.0,205000.0,Harry Kane,England,ST,89,27,64,91,Tottenham Hotspur ,54.0,-2.0
194765,27,89,90,78000000.0,145000.0,Antoine Griezmann,France,ST|CF|LW,89,29,66,89,FC Barcelona ,46.0,2.0
192448,26,89,92,58000000.0,240000.0,Marc-André ter Stegen,Germany,GK,90,28,68,93,FC Barcelona ,51.0,9.0
192119,26,89,90,53500000.0,240000.0,Thibaut Courtois,Belgium,GK,88,28,34,89,Real Madrid ,50.83,4.0
189511,29,89,89,51500000.0,315000.0,Sergio Busquets,Spain,CDM,88,32,34,88,FC Barcelona ,40.0,-4.0
179813,31,89,89,60000000.0,200000.0,Edinson Cavani,Uruguay,ST,86,33,26,86,Paris Saint-Germain ,-33.0,-56.0
167495,32,89,89,38000000.0,130000.0,Manuel Neuer,Germany,GK,89,34,42,89,FC Bayern München ,51.0,9.0
